VM Identification (UUID),AMU,AVMU,ADU,CLS,TC,RL,GL,Class
0E A2 54 32 37 BE 6A 6A-A2 73 85 46 A3 44 0B 02,55.24651305,18.13655727,95.52268502,4.710865076,34.64080774,59.1630283,51.00752551,Partially Malicious
98 89 A0 2E 40 81 90 C5-32 13 C6 3E C3 2A A7 99,93.35876234,70.73365476,52.46440888,8.168270987,83.29347063,11.25432463,90.08064345,Not Malicious
6C 99 0C AE 77 69 A4 4B-A4 73 6F 1F BF A5 0B AF,67.27406938,66.99405506,23.86541488,78.42628723,28.08346641,47.50614367,75.40562637,Not Malicious
3B 0F 5C 62 67 BE 90 89-40 4B 7B C0 8F 97 B2 A8,25.29672623,99.0083255,41.64669277,43.79283753,16.74487421,66.1391467,85.16834141,Not Malicious
77 57 A9 A3 22 8B 01 27-43 C6 A9 5F 77 00 9B 4C,7.262589688,73.27919547,80.7755873,50.8465585,93.86860392,12.84381647,11.95587455,Partially Malicious
BA 09 9C 15 52 15 BC 6A-27 31 8A 8F 97 54 0F 29,10.77402207,80.43625026,69.53490129,27.32919873,73.30667052,29.12366468,74.31045069,Partially Malicious
6F 3A 67 A3 80 B1 85 63-08 59 AE 22 2C 0D 70 83,65.74003164,36.70291384,87.93121934,96.99694992,42.95585628,85.75445112,64.52216557,Partially Malicious
2D B3 A8 75 00 BE AE 56-88 20 4A C6 83 13 4D A9,61.4046181,79.76566706,75.6748415,33.83259192,28.34100602,64.93989961,52.48167189,Not Malicious
3E BA 9E B0 B0 03 7F 40-39 42 B2 0F 39 BE 34 1A,63.86599251,39.27441116,29.09676282,37.94509771,4.373480777,54.2275249,11.1816213,Partially Malicious
12 12 5C 3F C0 A4 75 22-35 C7 70 5D 22 04 A2 93,10.35526349,43.55257045,77.2499336,2.096605371,90.81518482,24.6946596,25.18355323,Malicious
95 01 6F B5 20 25 2D 21-85 6D 54 25 54 09 36 20,53.14884441,85.56785777,7.205035724,83.82748393,16.58550557,21.14849371,40.02223019,Partially Malicious
2E 6D 24 6D A3 B2 0B 90-75 1D A6 5A 0D B3 37 1A,89.86138285,60.07767542,97.58545798,12.69754814,80.10245786,12.90220515,60.814625,Not Malicious
78 1A 6B 3B 9E 35 4E C5-AC 31 2B 4A 87 8B 56 0F,70.37790744,75.16171145,81.09548178,10.9044017,95.76529388,2.109971087,69.76163387,Not Malicious
